,director,director_id
751,Ernst Lubitsch,751
752,William Wyler,752
753,Frank Borzage,753
754,Lionel Barrymore,754
755,Alfred Hitchcock,755
756,Robert Z. Leonard,756
757,Robert Z. Leonard,757
758,Robert Siodmak,758
759,Erle C. Kenton,759
760,Henri Fescourt,760
761,Phil Jutzi,761
762,Rowland V. Lee,762
763,Lucien Hubbard,763
764,Clarence Brown,764
765,Lewis Milestone,765
766,Michael Curtiz,766
767,Jacques Feyder,767
768,Grigoriy Kozintsev,768
769,Fridrikh Ermler,769
770,Alan Crosland,770
771,Jack Conway,771
772,W.S. Van Dyke,772
773,Ewald André Dupont,773
774,Franz Osten,774
775,Abram Room,775
776,Erich von Stroheim,776
777,Howard Higgin,777
778,Victor Schertzinger,778
779,Luther Reed,779
780,Frank Borzage,780
781,Charles Reisner,781
782,Mario Camerini,782
783,John Francis Dillon,783
784,David Butler,784
785,A. Edward Sutherland,785
786,Reginald Barker,786
787,William Wyler,787
788,Harry A. Pollard,788
789,John G. Adolfi,789
790,H.P. Carver,790
791,John S. Robertson,791
792,Sam Wood,792
793,Walter Jerven,793
794,Harry Beaumont,794
795,Edward Sedgwick,795
796,Alexander Korda,796
797,Grigoriy Aleksandrov,797
798,Wesley Ruggles,798
799,Frank Tuttle,799
800,David Butler,800
801,Georg Wilhelm Pabst,801
802,Sam Taylor,802
803,Marshall Neilan,803
804,E. Mason Hopper,804
805,Frank Borzage,805
806,Tod Browning,806
807,Josef von Sternberg,807
808,Allan Dwan,808
809,Kenji Mizoguchi,809
810,Edmund Goulding,810
811,Bayard Veiller,811
812,Lionel Barrymore,812
813,Jack Conway,813
814,Marshall Neilan,814
815,William K. Howard,815
816,Léon Poirier,816
817,Victor Fleming,817
818,Yasujirô Ozu,818
819,Arnold Fanck,819
820,Clyde Bruckman,820
821,Tod Browning,821
822,William A. Seiter,822
823,Sidney Franklin,823
824,Dorothy Arzner,824
825,Hanns Schwarz,825
826,Frank Capra,826
827,D.W. Griffith,827
828,Lewis Milestone,828
829,Victor Heerman,829
830,Clarence Brown,830
831,Jacques Feyder,831
832,Julien Duvivier,832
833,William A. Seiter,833
834,Roland West,834
835,Thornton Freeland,835
836,Herbert Brenon,836
837,Frank Tuttle,837
838,George W. Hill,838
839,Hobart Henley,839
840,Raoul Walsh,840
841,King Vidor,841
842,David Burton,842
843,Josef von Sternberg,843
844,Kenneth MacPherson,844
845,John Ford,845
846,Michael Curtiz,846
847,Charles Brabin,847
848,Alan Crosland,848
849,Al Christie,849
850,Melville W. Brown,850
851,Harry Beaumont,851
852,F.W. Murnau,852
853,Christy Cabanne,853
854,Anthony Asquith,854
855,Paul Sloane,855
856,George B. Seitz,856
857,Julien Duvivier,857
858,Howard Hawks,858
859,George Fitzmaurice,859
860,Edmund Goulding,860
861,Robert Z. Leonard,861
862,Luther Reed,862
863,Archie Mayo,863
864,Edward Sedgwick,864
865,Wilhelm Thiele,865
866,André Charlot,866
867,Phil Rosen,867
868,Leslie Pearce,868
869,Fred C. Newmeyer,869
870,Roy William Neill,870
871,Clyde Bruckman,871
872,William A. Seiter,872
